slug,title_zh,topic,publish_date,cover_filename,cover_freeimage_url,article_url,ig_post_id,ig_published_at,view_count,adsense_revenue_usd,rpm_usd,keywords,notes
海底人為什麼不能存在,海底人為什麼不能存在,philosophy,2026-07-12,海底人為什麼不能存在_cover.jpg,https://iili.io/C1VhdtS.jpg,https://alanhorizonteam.org/articles/%E6%B5%B7%E5%BA%95%E4%BA%BA%E7%82%BA%E4%BB%80%E9%BA%BC%E4%B8%8D%E8%83%BD%E5%AD%98%E5%9C%A8.html,6a5279655bfb30fba4b44e24,2026-07-12T01:12:05+08:00,TBD,TBD,TBD,"海底人|美人魚|UFO|達爾文|深海文明|進化論",Style A template, IG Feed Post published
cuo-ren-lei-zui-nan-tun-xia-yi-li-yao,錯：人類最難吞下的一粒藥,philosophy,2026-07-04,cuo-ren-lei-zui-nan-tun-xia-yi-li-yao_cover.jpg,,https://alanhorizonteam.org/articles/cuo-ren-lei-zui-nan-tun-xia-yi-li-yao.html,,,TBD,TBD,TBD,"守時|承諾|責任|人性|社會",Style A template, view counter embedded
wealth-distance,財富的距離：龍拿度、馬斯克、比爾蓋茨嘅世界,finance,2026-07-01,cover_wealth_distance.jpg,,https://alanhorizonteam.org/articles/wealth-distance.html,,,TBD,TBD,TBD,"財富|馬斯克|比爾蓋茨|貧富差距|全球億萬富翁",view counter embedded
演算法守門人-2026世界盃門票背後的階級裂縫,演算法守門人：2026 世界盃門票背後嘅階級裂縫,tech,2026-06-19,,,https://alanhorizonteam.org/articles/%E6%BC%94%E7%AE%97%E6%B3%95%E5%AE%88%E9%96%80%E4%BA%BA-2026%E4%B8%96%E7%95%8C%E7%9B%83%E9%96%80%E7%A5%A8%E8%83%8C%E5%BE%8C%E7%9A%84%E9%9A%8E%E7%B4%9A%E8%A3%82%E7%B8%AB.html,,,TBD,TBD,TBD,"演算法|世界盃|門票|階級|AI治理",view counter embedded, missing cover
政府印鈔與貧窮真相,政府印鈔 = 貧窮嘅起點？,finance,2026-06-15,政府印鈔與貧窮真相_cover.jpg,,https://alanhorizonteam.org/articles/%E6%94%BF%E5%BA%9C%E5%8D%B0%E9%88%94%E8%88%87%E8%B2%A7%E7%AA%AE%E7%9C%9F%E7%9B%B8.html,,,TBD,TBD,TBD,"政府印鈔|通貨膨脹|貧窮|貨幣政策|宏觀經濟",view counter embedded
流星許願哲學研究,流星許願會實現嗎？,philosophy,2026-06-14,,,https://alanhorizonteam.org/articles/%E6%B5%81%E6%98%9F%E8%A8%B1%E9%A1%98%E5%93%B2%E5%AD%B8%E7%A0%94%E7%A9%B6.html,,,TBD,TBD,TBD,"流星|許願|信念|心理學|哲學|概率論",view counter embedded, missing cover
冇人捽就唔郁,冇人捽就唔郁,lifestyle,2026-06-11,冇人捽就唔郁_配圖_watermarked.jpg,,https://alanhorizonteam.org/articles/%E5%86%87%E4%BA%BA%E6%8D%BD%E5%B0%B1%E5%94%94%E9%83%81.html,,,TBD,TBD,TBD,"執行力|Incentive|自我監控|人性|拖延症",view counter embedded
爆旋陀螺復興,爆旋陀螺復興,lifestyle,2026-06-09,,,https://alanhorizonteam.org/articles/%E7%88%86%E6%97%8B%E9%99%80%E8%9E%BA%E5%BE%A9%E8%88%88.html,,,TBD,TBD,TBD,"陀螺|復古|演算法|童年|玩具",view counter embedded, missing cover
百萬富翁與六合博彩概率對決,知識與幸運的終極對決,finance,2026-06-08,millionaire_cover.jpg,,https://alanhorizonteam.org/articles/%E7%99%BE%E8%90%AC%E5%AF%8C%E7%BF%81%E8%88%87%E5%85%AD%E5%90%88%E5%8D%9A%E5%BD%A9%E6%A6%82%E7%8E%87%E5%B0%8D%E6%B1%BA.html,,,TBD,TBD,TBD,"百萬富翁|六合博彩|概率|知識|幸運",view counter embedded
依賴他人,依賴他人的代價,lifestyle,2026-06-06,,,https://alanhorizonteam.org/articles/%E4%BE%9D%E8%B3%B4%E4%BB%96%E4%BA%BA.html,,,TBD,TBD,TBD,"依賴|獨立|人際關係|成長",view counter embedded, missing cover
蜥蜴人理論,蜥蜴人理論,conspiracy,2026-06-03,,,https://alanhorizonteam.org/articles/%E8%9C%A5%E8%9C%B4%E4%BA%BA%E7%90%86%E8%AB%96.html,,,TBD,TBD,TBD,"蜥蜴人|陰謀論|地球內部文明|神秘學",view counter embedded, missing cover
宇宙神經元理論,宇宙神經元理論,philosophy,2026-06-01,,,https://alanhorizonteam.org/articles/%E5%AE%87%E5%AE%99%E7%A5%9E%E7%B6%93%E5%85%83%E7%90%86%E8%AB%96.html,,,TBD,TBD,TBD,"宇宙|神經元|暗物質|神經網絡|意識",view counter embedded, missing cover
GenZ文章,GenZ 未必係問題，問題係 GenZ 呢個世代,lifestyle,2026-05-20,,,https://alanhorizonteam.org/articles/GenZ%E6%96%87%E7%AB%A0.html,,,TBD,TBD,TBD,"GenZ|職場|工作價值觀|世代差異",view counter embedded, missing cover
